A.thaliana	G.sempervirens	C.roseus	Short_description	Curator_summary
AT3G51360.1	NA	NA	Eukaryotic aspartyl protease family protein	NA
NA	NA	CRO_04G029780.1	NA	NA
AT4G35870.1	Gelse_mpi.v2.1_MPIG043340.3	CRO_04G029790.1	early-responsive to dehydration stress protein (ERD4)	NA
AT4G35860.1	NA	NA	GTP-binding 2	GTP-binding protein ATGB2
AT3G51370.1	Gelse_mpi.v2.1_MPIG043330.2	CRO_04G029800.2	Protein phosphatase 2C family protein	NA
AT5G66080.1	Gelse_mpi.v2.1_MPIG043330.2	CRO_04G029800.2	Protein phosphatase 2C family protein	NA
AT4G35850.1	NA	NA	Pentatricopeptide repeat (PPR) superfamily protein	NA
NA	Gelse_mpi.v2.1_MPIG043320.1	CRO_04G029810.1	NA	NA
AT4G35840.1	NA	CRO_04G029820.4	RING/U-box superfamily protein	NA
AT5G66070.2	NA	CRO_04G029820.4	RING/U-box superfamily protein	NA
AT2G17730.2	NA	CRO_04G029820.4	NEP-interacting protein 2	Intrinsic thylakoid membrane  protein that fixes RPOTmp on the stromal side of the thylakoid  membrane.
AT4G35837.1	NA	NA	NA	NA
AT4G35810.1	Gelse_mpi.v2.1_MPIG043310.3	CRO_04G029830.1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	NA
AT5G66060.1	Gelse_mpi.v2.1_MPIG043310.3	CRO_04G029830.1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	NA
AT2G17720.1	Gelse_mpi.v2.1_MPIG043310.3	CRO_04G029830.1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	NA
AT4G35830.1	NA	NA	aconitase 1	Encodes an aconitase that can catalyze the conversion of citrate to isocitrate through a cis-aconitate intermediate, indicating that it may participate in the TCA cycle and other primary metabolic pathways. The protein is believed to accumulate in the mitochondria and the cytosol. It affects CSD2 (At2g28190 - a superoxide dismutase) transcript levels and may play a role in the response to oxidative stress. This enzyme can also specifically bind to the 5' UTR of CSD2 in vitro.
AT2G17710.1	Gelse_mpi.v2.1_MPIG043300.1	NA	NA	NA
AT4G35820.1	NA	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	NA
NA	NA	CRO_04G029840.1	NA	NA
AT2G17705.1	Gelse_mpi.v2.1_MPIG043290.1	NA	NA	NA
AT4G35800.1	Gelse_mpi.v2.1_MPIG043280.1	CRO_04G029850.6	RNA polymerase II large subunit	Encodes the unique largest subunit of nuclear DNA-dependent RNA polymerase II; the ortholog of budding yeast RPB1 and a homolog of the E. coli RNA polymerase beta prime subunit.
NA	NA	CRO_04G029870.1	NA	NA
NA	NA	CRO_04G029880.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG043270.1	CRO_04G029860.1	NA	NA
NA	NA	CRO_04G029890.1	NA	NA
AT4G35790.1	Gelse_mpi.v2.1_MPIG043260.1	CRO_04G029900.2	phospholipase D delta	Encodes a protein with phospholipase D activity. Involved in phospolipase metabolism. Mutants are affected in hydrogen peroxide mediated cell death.
AT4G35785.5	NA	CRO_04G029910.1	RNA-binding (RRM/RBD/RNP motifs) family protein	NA
AT5G66055.1	NA	CRO_04G029920.2	ankyrin repeat protein	A locus involved in embryogenesis. Mutations in this locus result in embryo lethality.
AT5G66053.1	NA	NA	NA	NA
AT5G66052.1	NA	NA	NA	NA
AT5G66050.1	Gelse_mpi.v2.1_MPIG043250.1	CRO_04G029930.2	Wound-responsive family protein	NA
NA	Gelse_mpi.v2.1_MPIG043240.2	CRO_04G029940.1	NA	NA
AT4G35783.1	NA	NA	ROTUNDIFOLIA like 6	NA
NA	Gelse_mpi.v2.1_MPIG043230.1	NA	NA	NA
NA	NA	CRO_04G029950.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG043220.3	NA	NA	NA
AT4G35780.1	NA	CRO_04G029960.1	ACT-like protein tyrosine kinase family protein	NA
AT2G17700.1	NA	CRO_04G029960.1	ACT-like protein tyrosine kinase family protein	NA
NA	Gelse_mpi.v2.1_MPIG043200.1	NA	NA	NA
AT3G51380.1	Gelse_mpi.v2.1_MPIG043190.1	CRO_04G029970.2	IQ-domain 20	NA
AT4G35770.1	Gelse_mpi.v2.1_MPIG043180.1	CRO_04G029980.1	Rhodanese/Cell cycle control phosphatase superfamily protein	Senescence-associated gene that is strongly induced by phosphate starvation.  Transcripts are differentially regulated at the level of mRNA stability at different times of day. mRNAs are targets of the mRNA degradation pathway mediated by the downstream (DST) instability determinant.
AT5G66040.1	Gelse_mpi.v2.1_MPIG043180.1	CRO_04G029980.1	sulfurtransferase protein 16	Encodes a protein with thiosulfate sulfurtransferase/rhodanese activity  in vitro, however, it is likely to use a substrate other than thiosulfate or 3-mercaptopyruvate in vivo.
NA	Gelse_mpi.v2.1_MPIG042790.2	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG043150.1	NA	NA	NA
AT4G35750.1	Gelse_mpi.v2.1_MPIG042750.1	CRO_04G030000.1	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein	NA
AT4G35760.1	Gelse_mpi.v2.1_MPIG043160.6	CRO_04G029990.2	NAD(P)H dehydrogenase (quinone)s	Encodes a bimodular enzyme comprising an integral domain homologous to the catalytic subunit of mammalian vitamin K epoxide reductase (VKORC1, EC 1.1.4.1) that is fused to a soluble thioredoxin-like moiety. Using yeast microsomes as a recombinant system, it was shown that the VKORC1 domain of At4g35760 functions as a stringent naphthoquinone reductase, and that its reduced Trx-like partner can serve as its electron donor.  Located in plastid.
AT2G17695.1	Gelse_mpi.v2.1_MPIG043140.1	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG043120.1	CRO_04G030010.1	NA	NA
AT4G35740.1	NA	NA	DEAD/DEAH box RNA helicase family protein 	Encodes RECQ3, an ATP-dependent helicase.
NA	Gelse_mpi.v2.1_MPIG043110.2	CRO_04G030020.3	NA	NA
AT3G51390.1	Gelse_mpi.v2.1_MPIG043100.4	CRO_04G030030.2	DHHC-type zinc finger family protein	NA
AT4G35733.1	NA	NA	F-box family protein with a domain of unknown function (DUF295)	NA
NA	Gelse_mpi.v2.1_MPIG043090.2	CRO_04G030040.2	NA	NA
NA	NA	CRO_04G030050.1	NA	NA
AT4G35730.1	Gelse_mpi.v2.1_MPIG043080.1	CRO_04G030060.1	Regulator of Vps4 activity in the MVB pathway protein	NA
AT4G35725.1	NA	NA	NA	NA
AT3G51400.1	NA	NA	Arabidopsis protein of unknown function (DUF241)	NA
AT4G35720.1	NA	NA	Arabidopsis protein of unknown function (DUF241)	NA
NA	NA	CRO_04G030080.1	NA	NA
AT4G35690.1	NA	NA	Arabidopsis protein of unknown function (DUF241)	NA
AT4G35680.1	NA	NA	Arabidopsis protein of unknown function (DUF241)	NA
NA	NA	CRO_04G030090.1	NA	NA
AT4G35670.1	NA	NA	Pectin lyase-like superfamily protein	NA
AT4G35660.1	Gelse_mpi.v2.1_MPIG043050.1	CRO_04G030100.1	Arabidopsis protein of unknown function (DUF241)	NA
AT3G51410.1	NA	NA	Arabidopsis protein of unknown function (DUF241)	NA
NA	Gelse_mpi.v2.1_MPIG043020.2	NA	NA	NA
AT2G17670.1	Gelse_mpi.v2.1_MPIG043030.8	CRO_04G030120.2	Tetratricopeptide repeat (TPR)-like superfamily protein	NA
NA	Gelse_mpi.v2.1_MPIG043010.1	CRO_04G030130.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG043000.1	NA	NA	NA
AT4G35655.1	NA	NA	RPM1-interacting protein 4 (RIN4) family protein	NA
NA	Gelse_mpi.v2.1_MPIG042970.1	CRO_04G030140.5	NA	NA
NA	Gelse_mpi.v2.1_MPIG042960.1	CRO_04G030150.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG042950.1	CRO_04G030160.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG042940.1	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG042930.1	NA	NA	NA
AT4G35650.1	NA	NA	isocitrate dehydrogenase III	Encodes a regulatory subunit of the mitochondrially-localized NAD+- dependent isocitrate dehydrogenase. In contrast to the broadly expressed other regulatory (IDH-I and IDH-II) and catalytic (IDH-V and IDH-VI) subunits of this enzyme, IDH-III expression appears to be restricted largely to pollen.
NA	Gelse_mpi.v2.1_MPIG042900.1	CRO_04G030180.1	NA	NA
AT3G51430.1	Gelse_mpi.v2.1_MPIG042880.5	CRO_04G030190.1	Calcium-dependent phosphotriesterase superfamily protein	Although this enzyme is predicted to encode a strictosidine synthase (SS), it lacks a conserved catalytic glutamate residue found in active SS enzymes and it is not expected to have SS activity.
AT2G17650.1	Gelse_mpi.v2.1_MPIG042840.1	CRO_04G030200.1	AMP-dependent synthetase and ligase family protein	NA
NA	Gelse_mpi.v2.1_MPIG042860.1	NA	NA	NA
AT4G35640.1	Gelse_mpi.v2.1_MPIG042830.4	CRO_04G030210.1	serine acetyltransferase 3;2	Encodes a cytosolic serine O-acetyltransferase involved in sulfur assimilation and cysteine biosynthesis.  Expressed in the vascular system.  Expression is induced in both roots and shoots under sulfur-starved conditions.
AT2G17640.1	Gelse_mpi.v2.1_MPIG042830.4	CRO_04G030210.1	Trimeric LpxA-like enzymes superfamily protein	Encodes a cytosolic serine O-acetyltransferase involved in sulfur assimilation and cysteine biosynthesis. Expressed in the vascular system. Expression is induced after long-term sulfur starvation.
NA	Gelse_mpi.v2.1_MPIG042820.1	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG042810.1	NA	NA	NA
AT5G66030.1	Gelse_mpi.v2.1_MPIG042800.1	CRO_04G030220.3	Golgi-localized GRIP domain-containing protein	Involved in golgi protein trafficking. AtARL1 binds directly to the GRIP domain of AtGRIP in a GTP-dependent manner. Localized to the golgi apparatus, tyrosine 717 in  AtGRIP is crucial for Golgi localization.
NA	NA	CRO_04G030230.1	NA	NA
NA	NA	CRO_04G030240.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG043650.1	CRO_04G030250.1	NA	NA
AT5G66170.2	NA	NA	sulfurtransferase 18	Encodes a thiosulfate sulfurtransferase/rhodanese.
AT2G17850.1	NA	NA	Rhodanese/Cell cycle control phosphatase superfamily protein	NA
NA	Gelse_mpi.v2.1_MPIG043670.1	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG043680.1	CRO_04G030270.2	NA	NA
NA	Gelse_mpi.v2.1_MPIG043660.1	CRO_04G030260.1	NA	NA
AT5G66160.1	NA	NA	receptor homology region transmembrane domain ring H2 motif protein 1	Encodes a receptor homology region transmembrane domain, ring H2 motif protein involved in transport of storage proteins to protein storage vacuoles. Co-localizes with DIP positive vesicles.
AT5G66180.1	Gelse_mpi.v2.1_MPIG043690.1	CRO_04G030280.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	NA
NA	Gelse_mpi.v2.1_MPIG043700.2	CRO_04G030290.3	NA	NA
NA	Gelse_mpi.v2.1_MPIG043710.1	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG043720.1	CRO_04G030300.1	NA	NA
AT4G35987.1	Gelse_mpi.v2.1_MPIG043730.5	CRO_04G030310.2	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	NA
NA	Gelse_mpi.v2.1_MPIG043740.1	CRO_04G030320.1	NA	NA
NA	NA	CRO_04G030330.1	NA	NA
AT4G36000.1	NA	NA	Pathogenesis-related thaumatin superfamily protein	NA
NA	Gelse_mpi.v2.1_MPIG043750.1	CRO_04G030340.1	NA	NA
NA	NA	CRO_04G030350.1	NA	NA
AT4G36010.1	Gelse_mpi.v2.1_MPIG043760.1	CRO_04G030360.2	Pathogenesis-related thaumatin superfamily protein	NA
AT2G17860.1	Gelse_mpi.v2.1_MPIG043760.1	CRO_04G030360.2	Pathogenesis-related thaumatin superfamily protein	NA
AT4G36020.1	NA	CRO_04G030370.1	cold shock domain protein 1	Encodes a cold shock domain protein. Involved in cold acclimation by blocking the secondary structure of mRNA which in turn facilitates translation at cold temperature.
AT2G17870.1	NA	CRO_04G030370.1	cold shock domain protein 3	Encodes COLD SHOCK DOMAIN PROTEIN 3 (CSP3), involved in the acquisition of freezing tolerance.
AT5G66190.1	Gelse_mpi.v2.1_MPIG043780.1	CRO_04G030380.1	ferredoxin-NADP(+)-oxidoreductase 1	Encodes a leaf-type ferredoxin:NADP(H) oxidoreductase.  It is present in both chloroplast stroma and thylakoid membranes but is more abundant in the thylakoid.  The affinity of this enzyme for ferredoxin is slightly, but significantly, higher than AtLFNR2, an isoform of the same enzyme.  AtLFNR1 forms a heterodimer with AtFNR2 and is also a prerequisite to attach AtFNR2 to the thylakoid membrane.
NA	Gelse_mpi.v2.1_MPIG043790.8	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG043800.1	NA	NA	NA
AT4G36030.1	NA	NA	armadillo repeat only 3	Armadillo repeat protein. One of a family of four in Arabidopsis. Expressed in vegetative tissues, anthers and ovules.
NA	Gelse_mpi.v2.1_MPIG043810.1	NA	NA	NA
AT5G66200.1	Gelse_mpi.v2.1_MPIG043820.2	CRO_04G030390.1	armadillo repeat only 2	Armadillo repeat protein. One of a family of four in Arabidopsis. Expressed in vegetative tissues, anthers and ovules.
AT4G36040.1	Gelse_mpi.v2.1_MPIG043830.1	CRO_04G030400.1	Chaperone DnaJ-domain superfamily protein	NA
AT2G17880.1	Gelse_mpi.v2.1_MPIG043830.1	CRO_04G030400.1	Chaperone DnaJ-domain superfamily protein	NA
NA	NA	CRO_04G030410.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG043840.1	NA	NA	NA
AT4G36050.2	Gelse_mpi.v2.1_MPIG043850.3	CRO_04G030420.2	endonuclease/exonuclease/phosphatase family protein	NA
NA	Gelse_mpi.v2.1_MPIG043860.1	CRO_04G030430.1	NA	NA
AT4G36070.2	Gelse_mpi.v2.1_MPIG043870.2	CRO_04G030440.7	calcium-dependent protein kinase 18	member of Calcium Dependent Protein Kinase
AT5G66210.2	Gelse_mpi.v2.1_MPIG043870.2	CRO_04G030440.7	calcium-dependent protein kinase 28	member of Calcium Dependent Protein Kinase
AT2G17890.1	Gelse_mpi.v2.1_MPIG043870.2	CRO_04G030440.7	calcium-dependent protein kinase 16	member of Calcium Dependent Protein Kinase
AT4G36060.1	NA	NA	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	NA
AT5G66211.1	NA	NA	NA	NA
AT3G51240.1	Gelse_mpi.v2.1_MPIG043880.1	CRO_04G030450.1	flavanone 3-hydroxylase	Encodes flavanone 3-hydroxylase that is coordinately expressed with chalcone synthase and chalcone isomerases. Regulates flavonoid biosynthesis.
AT5G66220.1	NA	NA	Chalcone-flavanone isomerase family protein	NA
NA	Gelse_mpi.v2.1_MPIG043890.1	CRO_04G030460.1	NA	NA
AT3G51230.1	NA	CRO_04G030470.2	NA	NA
AT5G66230.1	NA	CRO_04G030470.2	Chalcone-flavanone isomerase family protein	NA
AT4G36080.1	Gelse_mpi.v2.1_MPIG043900.1	CRO_04G030480.1	phosphotransferases, alcohol group as acceptor;binding;inositol or phosphatidylinositol kinases	NA
AT2G17930.1	Gelse_mpi.v2.1_MPIG043900.1	CRO_04G030480.1	Phosphatidylinositol 3- and 4-kinase family protein with FAT domain	NA
AT3G51220.1	Gelse_mpi.v2.1_MPIG043910.3	CRO_04G030490.2	Plant protein of unknown function (DUF827)	NA
AT2G17940.1	NA	NA	Plant protein of unknown function (DUF827)	NA
NA	Gelse_mpi.v2.1_MPIG043920.1	CRO_04G030500.1	NA	NA
AT5G66240.2	Gelse_mpi.v2.1_MPIG043930.1	CRO_04G030510.3	Transducin/WD40 repeat-like superfamily protein	NA
AT3G51210.1	NA	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein	NA
AT2G17950.1	Gelse_mpi.v2.1_MPIG043940.1	CRO_04G030520.1	Homeodomain-like superfamily protein	Homeobox gene controlling the stem cell pool. Expressed in the stem cell organizing center of meristems. Required to keep the stem cells in an undifferentiated state. Regulation of WUS transcription is a central checkpoint in stem cell control. The size of  the WUS expression domain controls the  size of the stem cell population through WUS indirectly activating the expression of  CLAVATA3 (CLV3) in the stem cells and CLV3 repressing WUS transcription through the CLV1 receptor kinase signaling pathway. Repression of WUS transcription through AGAMOUS (AG) activity controls stem cell activity in the determinate floral meristem. Binds to TAAT element core motif.  WUS is also involved in cell differentiation during anther development.
AT2G17960.1	NA	NA	NA	NA
AT4G36090.3	Gelse_mpi.v2.1_MPIG043950.1	CRO_04G030530.4	oxidoreductase, 2OG-Fe(II) oxygenase family protein	NA
AT2G17970.1	Gelse_mpi.v2.1_MPIG043950.1	CRO_04G030530.4	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	NA
AT4G36100.1	NA	NA	Sec1/munc18-like (SM) proteins superfamily	NA
AT2G17975.1	Gelse_mpi.v2.1_MPIG043970.1	CRO_04G030540.2	zinc finger (Ran-binding) family protein	NA
AT3G51200.1	NA	NA	SAUR-like auxin-responsive protein family 	NA
AT5G66250.4	NA	NA	kinectin-related	NA
AT2G17980.1	NA	NA	Sec1/munc18-like (SM) proteins superfamily	member of SLY1 Gene Family
AT2G17972.1	Gelse_mpi.v2.1_MPIG043960.1	CRO_04G030550.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG043980.1	CRO_04G030560.1	NA	NA
AT4G36105.2	Gelse_mpi.v2.1_MPIG043990.6	NA	NA	NA
AT2G17990.1	Gelse_mpi.v2.1_MPIG043990.6	NA	NA	NA
AT2G18000.2	Gelse_mpi.v2.1_MPIG044000.2	CRO_04G030570.2	TBP-associated factor 14	NA
AT4G34760.1	Gelse_mpi.v2.1_MPIG044010.1	CRO_04G030580.1	SAUR-like auxin-responsive protein family 	NA
AT4G36110.1	Gelse_mpi.v2.1_MPIG044010.1	CRO_04G030580.1	SAUR-like auxin-responsive protein family 	NA
AT2G16580.1	Gelse_mpi.v2.1_MPIG044010.1	CRO_04G030580.1	SAUR-like auxin-responsive protein family 	NA
AT5G66260.1	NA	NA	SAUR-like auxin-responsive protein family 	NA
AT2G18010.1	NA	NA	SAUR-like auxin-responsive protein family 	NA
NA	Gelse_mpi.v2.1_MPIG044020.1	CRO_04G030590.3	NA	NA
NA	Gelse_mpi.v2.1_MPIG044030.1	CRO_04G030600.1	NA	NA
AT3G51180.1	NA	NA	Zinc finger C-x8-C-x5-C-x3-H type family protein	NA
AT4G36120.1	NA	NA	Plant protein of unknown function (DUF869)	NA
NA	NA	CRO_04G030610.1	NA	NA
AT5G66270.1	NA	NA	Zinc finger C-x8-C-x5-C-x3-H type family protein	NA
AT2G18030.1	Gelse_mpi.v2.1_MPIG044040.2	CRO_04G030630.2	Peptide methionine sulfoxide reductase family protein	NA
AT3G51190.1	NA	NA	Ribosomal protein L2 family	NA
AT4G36130.1	NA	NA	Ribosomal protein L2 family	NA
AT2G18020.1	NA	NA	Ribosomal protein L2 family	NA
AT2G18040.1	Gelse_mpi.v2.1_MPIG044050.1	CRO_04G030640.1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	phosphorylation-specific peptidyl prolyl cis/trans isomerase (PPIase) with specificity for phosphoserine-proline bonds
NA	Gelse_mpi.v2.1_MPIG044060.1	CRO_04G030650.1	NA	NA
AT4G36140.1	NA	NA	disease resistance protein (TIR-NBS-LRR class), putative	NA
AT3G51160.1	Gelse_mpi.v2.1_MPIG044070.2	CRO_04G030660.1	NAD(P)-binding Rossmann-fold superfamily protein	Catalyzes the first step in the de novo synthesis of GDP-L-fucose.
AT5G66280.1	Gelse_mpi.v2.1_MPIG044070.2	CRO_04G030660.1	GDP-D-mannose 4,6-dehydratase 1	GDP-D-mannose 4,6-dehydratase
AT5G66290.1	Gelse_mpi.v2.1_MPIG044080.4	CRO_04G030670.2	NA	NA
NA	Gelse_mpi.v2.1_MPIG044090.1	CRO_04G030680.1	NA	NA
AT4G36150.1	NA	NA	Disease resistance protein (TIR-NBS-LRR class) family	NA
NA	Gelse_mpi.v2.1_MPIG044100.1	CRO_04G030690.1	NA	NA
AT2G18050.1	Gelse_mpi.v2.1_MPIG044110.1	CRO_04G030700.1	histone H1-3	encodes a structurally divergent linker histone whose gene expression is induced by dehydration and ABA.
NA	Gelse_mpi.v2.1_MPIG044120.1	NA	NA	NA
NA	NA	CRO_04G030710.1	NA	NA
AT4G36160.1	Gelse_mpi.v2.1_MPIG044130.1	CRO_04G030720.1	NAC domain containing protein 76	Encodes a NAC-domain transcription factor. Expressed in the vascular tissue.
AT5G66300.1	Gelse_mpi.v2.1_MPIG044130.1	CRO_04G030720.1	NAC domain containing protein 105	Encodes a NAC-domain transcription factor. Expressed in the vascular tissue.
AT2G18060.1	Gelse_mpi.v2.1_MPIG044130.1	CRO_04G030720.1	vascular related NAC-domain protein 1	Encodes a NAC-domain transcription factor. Expressed in the vascular tissue.
AT4G36170.1	NA	NA	NA	NA
AT3G51150.2	NA	NA	ATP binding microtubule motor family protein	NA
NA	NA	CRO_04G030740.1	NA	NA
AT4G36180.1	Gelse_mpi.v2.1_MPIG044150.1	CRO_04G030750.1	Leucine-rich receptor-like protein kinase family protein	NA
AT2G18070.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG044160.8	CRO_04G030760.2	NA	NA
NA	Gelse_mpi.v2.1_MPIG044170.2	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG044180.1	CRO_04G030780.1	NA	NA
AT5G66310.1	NA	NA	ATP binding microtubule motor family protein	NA
AT4G36195.1	Gelse_mpi.v2.1_MPIG044190.9	CRO_04G030790.1	Serine carboxypeptidase S28 family protein	NA
AT2G18080.1	Gelse_mpi.v2.1_MPIG044190.9	CRO_04G030790.1	Serine carboxypeptidase S28 family protein	NA
NA	Gelse_mpi.v2.1_MPIG044200.1	CRO_04G030800.1	NA	NA
AT3G51140.1	Gelse_mpi.v2.1_MPIG044210.1	CRO_04G030810.1	Protein of unknown function (DUF3353)	NA
NA	Gelse_mpi.v2.1_MPIG044220.1	NA	NA	NA
NA	NA	CRO_04G030820.1	NA	NA
NA	Gelse_mpi.v2.1_MPIG044230.1	CRO_04G030830.1	NA	NA
AT2G18090.1	NA	NA	PHD finger family protein / SWIB complex BAF60b domain-containing protein / GYF domain-containing protein	NA
AT5G66320.1	NA	NA	GATA transcription factor 5	Encodes GATA transcription factor gene GNC, involved in regulating carbon and nitrogen metabolism. Expression occurs in aerial tissue at an early stage of  development and is inducible by nitrate.
AT3G51120.1	Gelse_mpi.v2.1_MPIG044250.1	CRO_04G030850.2	DNA binding;zinc ion binding;nucleic acid binding;nucleic acid binding	NA
AT3G51110.1	NA	NA	Tetratricopeptide repeat (TPR)-like superfamily protein	NA
AT4G36210.3	NA	NA	Protein of unknown function (DUF726)	NA
AT2G18100.1	NA	NA	Protein of unknown function (DUF726)	NA
AT3G51100.1	NA	NA	NA	NA
AT4G36220.1	Gelse_mpi.v2.1_MPIG044270.1	CRO_04G030870.1	ferulic acid 5-hydroxylase 1	encodes ferulate 5-hydroxylase (F5H). Involved in lignin biosynthesis.
NA	Gelse_mpi.v2.1_MPIG044290.1	CRO_04G030890.1	NA	NA
AT4G36230.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.1_MPIG044300.1	CRO_04G030900.1	NA	NA
AT5G66330.1	Gelse_mpi.v2.1_MPIG044310.1	CRO_04G030910.1	Leucine-rich repeat (LRR) family protein	NA
AT3G51080.1	NA	NA	GATA transcription factor 6	Encodes a member of the GATA factor family of zinc finger transcription factors.
AT2G18110.1	NA	NA	Translation elongation  factor EF1B/ribosomal protein S6 family protein	NA
AT4G36240.1	NA	NA	GATA transcription factor 7	Encodes a member of the GATA factor family of zinc finger transcription factors.
NA	Gelse_mpi.v2.1_MPIG044320.4	CRO_04G030920.3	NA	NA
AT4G36250.1	Gelse_mpi.v2.1_MPIG044340.1	CRO_04G030940.1	aldehyde dehydrogenase 3F1	Encodes a putative aldehyde dehydrogenase. The gene is not responsive to osmotic stress and is expressed constitutively at a low level in plantlets and root cultures.
AT5G66340.1	NA	NA	NA	NA
AT4G36260.1	NA	NA	Lateral root primordium (LRP) protein-related	A member of SHI gene family. Arabidopsis thaliana has ten members that encode proteins with a RING finger-like zinc finger motif. Despite being highly divergent in sequence, many of the SHI-related genes are partially redundant in function and synergistically promote gynoecium, stamen and leaf development in Arabidopsis. Encodes protein with a single zinc finger motif and a members of a small gene family of putative transcription factors in which the SHORT INTERNODES (SHI) gene is found. STY2/STY1 double mutants showed defective style, stigma as well as serrated leaves.
NA	Gelse_mpi.v2.1_MPIG044350.1	CRO_04G030950.1	NA	NA
AT2G18120.1	NA	NA	SHI-related sequence 4	A member of SHI gene family. Arabidopsis thaliana has ten members that encode proteins with a RING finger-like zinc finger motif. Despite being highly divergent in sequence, many of the SHI-related genes are partially redundant in function and synergistically promote gynoecium, stamen and leaf development in Arabidopsis.
AT4G36268.1	NA	NA	NA	NA
AT3G51070.1	Gelse_mpi.v2.1_MPIG044370.1	CRO_04G030970.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	NA
NA	Gelse_mpi.v2.1_MPIG044380.1	NA	NA	NA
AT3G51060.1	Gelse_mpi.v2.1_MPIG044390.1	CRO_04G030980.3	Lateral root primordium (LRP) protein-related	A member of SHI gene family. Arabidopsis thaliana has ten members that encode proteins with a RING finger-like zinc finger motif. Despite being highly divergent in sequence, many of the SHI-related genes are partially redundant in function and synergistically promote gynoecium, stamen and leaf development in Arabidopsis. STY1/STY2 double mutants showed defective style, stigma as well as serrated leaves. Binds to the promoter of YUC4 and YUC8 (binding site  ACTCTAC)
AT5G66350.1	Gelse_mpi.v2.1_MPIG044390.1	CRO_04G030980.3	Lateral root primordium (LRP) protein-related	A member of SHI gene family. Arabidopsis thaliana has ten members that encode proteins with a RING finger-like zinc finger motif. Despite being highly divergent in sequence, many of the SHI-related genes are partially redundant in function and synergistically promote gynoecium, stamen and leaf development in Arabidopsis. Shi mutant is dominant, has dwarf phenotype.  Loss of function mutations have no observable phenotype. Putative zinc finger protein. Involved in the response to gibberellic acid.
AT4G36280.1	Gelse_mpi.v2.1_MPIG044420.1	NA	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein	NA
NA	Gelse_mpi.v2.1_MPIG044400.1	NA	NA	NA
AT3G51057.1	NA	NA	NA	NA
AT3G51050.1	Gelse_mpi.v2.1_MPIG044410.2	NA	FG-GAP repeat-containing protein	NA
AT3G51040.1	Gelse_mpi.v2.1_MPIG044430.9	CRO_04G030990.1	RTE1-homolog	Encodes a protein of 231 amino acids with 51% identity to RTE1 over 209 amino acids.
AT2G18130.1	NA	NA	purple acid phosphatase 11	NA
AT4G36350.1	NA	NA	purple acid phosphatase 25	NA
AT3G51030.1	Gelse_mpi.v2.1_MPIG044440.1	CRO_04G031000.1	thioredoxin H-type 1	encodes a cytosolic thioredoxin that reduces disulfide bridges of target proteins by the reversible formation of a disulfide bridge between two neighboring Cys residues present in the active site. Thioredoxins have been found to regulate a variety of biological reactions in prokaryotic and eukaryotic cells.
AT4G36360.1	Gelse_mpi.v2.1_MPIG044450.1	CRO_04G031010.2	beta-galactosidase 3	putative beta-galactosidase (BGAL3 gene)
AT4G36370.1	NA	NA	NA	NA
AT5G66360.2	Gelse_mpi.v2.1_MPIG044460.1	CRO_04G031020.2	Ribosomal RNA adenine dimethylase family protein	NA
AT3G51020.1	NA	NA	NA	NA
