A.thaliana,G.sempervirens,C.roseus,Short_description,Curator_summary,Cell_type,Name,Organ,Sources,cluster
AT5G02380,Gelse_mpi.v2.8_MPIG012420.1,CRO_04G017930.1,metallothionein 2B,cysteine-rich protein with copper-binding activity,Vasculature,MET2B,NA,Lee et al 2025,6
AT5G02380,Gelse_mpi.v2.8_MPIG012420.1,CRO_04G017930.1,metallothionein 2B,cysteine-rich protein with copper-binding activity,Vasculature,MET2B,NA,Lee et al 2025,13
AT3G54020,Gelse_mpi.v2.8_MPIG013650.1,CRO_04G019390.3,Arabidopsis Inositol phosphorylceramide synthase 1,Inositol phosphorylceramide synthase,Mesophyll,AtIPCS1,Leaf,Lee et al 2025,1
AT3G54020,Gelse_mpi.v2.8_MPIG013650.1,CRO_04G019390.3,Arabidopsis Inositol phosphorylceramide synthase 1,Inositol phosphorylceramide synthase,Mesophyll,AtIPCS1,Leaf,Lee et al 2025,4
AT3G54020,Gelse_mpi.v2.8_MPIG013650.1,CRO_04G019390.3,Arabidopsis Inositol phosphorylceramide synthase 1,Inositol phosphorylceramide synthase,Mesophyll,AtIPCS1,Leaf,Lee et al 2025,7
AT3G54020,Gelse_mpi.v2.8_MPIG013650.1,CRO_04G019390.3,Arabidopsis Inositol phosphorylceramide synthase 1,Inositol phosphorylceramide synthase,Mesophyll,AtIPCS1,Leaf,Lee et al 2025,9
AT3G54020,Gelse_mpi.v2.8_MPIG013650.1,CRO_04G019390.3,Arabidopsis Inositol phosphorylceramide synthase 1,Inositol phosphorylceramide synthase,Mesophyll,AtIPCS1,Leaf,Lee et al 2025,10
AT3G54020,Gelse_mpi.v2.8_MPIG013650.1,CRO_04G019390.3,Arabidopsis Inositol phosphorylceramide synthase 1,Inositol phosphorylceramide synthase,Mesophyll,AtIPCS1,Leaf,Lee et al 2025,11
AT3G54020,Gelse_mpi.v2.8_MPIG013650.1,CRO_04G019390.3,Arabidopsis Inositol phosphorylceramide synthase 1,Inositol phosphorylceramide synthase,Mesophyll,AtIPCS1,Leaf,Lee et al 2025,12
AT3G54020,Gelse_mpi.v2.8_MPIG013650.1,CRO_04G019390.3,Arabidopsis Inositol phosphorylceramide synthase 1,Inositol phosphorylceramide synthase,Mesophyll,AtIPCS1,Leaf,Lee et al 2025,17
AT2G41740,Gelse_mpi.v2.8_MPIG009060.1,CRO_04G021120.1,villin 2,Encodes a protein with high homology to animal villin.,Epidermis,VLN2,Leaf,Lee et al 2025,4
AT2G41740,Gelse_mpi.v2.8_MPIG009060.1,CRO_04G021120.1,villin 2,Encodes a protein with high homology to animal villin.,Epidermis,VLN2,Leaf,Lee et al 2025,19
AT3G57410,Gelse_mpi.v2.8_MPIG009060.1,CRO_04G021120.1,villin 3,Encodes a protein with high homology to animal villin. VLN3 is a Ca2+-regulated villin involved in actin filament bundling.,Epidermis,VLN3,Leaf,Lee et al 2025,4
AT3G57410,Gelse_mpi.v2.8_MPIG009060.1,CRO_04G021120.1,villin 3,Encodes a protein with high homology to animal villin. VLN3 is a Ca2+-regulated villin involved in actin filament bundling.,Epidermis,VLN3,Leaf,Lee et al 2025,19
AT2G04570,Gelse_mpi.v2.6_MPIG005960.3,CRO_04G023070.1,GDSL-like Lipase/Acylhydrolase superfamily protein,NA,Epidermis,AT2G04570,Leaf,Lee et al 2025,7
AT2G04570,Gelse_mpi.v2.6_MPIG005960.3,CRO_04G023070.1,GDSL-like Lipase/Acylhydrolase superfamily protein,NA,Epidermis,AT2G04570,Leaf,Lee et al 2025,15
AT5G63550,Gelse_mpi.v2.2_MPIG027160.1,NA,DEK domain-containing chromatin associated protein,NA,Mesophyll,AT5G63550,Leaf,Lee et al 2025,11
AT5G62680,Gelse_mpi.v2.2_MPIG032250.2,CRO_04G026360.2,Major facilitator superfamily protein,NA,Xylem Parenchyma,GTR2,Leaf,Lee et al 2025,17
AT3G47600,Gelse_mpi.v2.2_MPIG033180.2,CRO_04G027390.1,myb domain protein 94,Encodes a putative transcription factor (MYB94).,Epidermis,MYB94,Leaf,Lee et al 2025,7
AT3G47600,Gelse_mpi.v2.2_MPIG033180.2,CRO_04G027390.1,myb domain protein 94,Encodes a putative transcription factor (MYB94).,Epidermis,MYB94,Leaf,Lee et al 2025,19
AT5G62470,Gelse_mpi.v2.2_MPIG033180.2,CRO_04G027390.1,myb domain protein 96,Encodes a R2R3 type Myb transcription factor whose expression is strongly induced by abscisic acid. Mediates abscisic acid signaling during drought stress response.,Epidermis,MYB96,Leaf,Lee et al 2025,7
AT5G62470,Gelse_mpi.v2.2_MPIG033180.2,CRO_04G027390.1,myb domain protein 96,Encodes a R2R3 type Myb transcription factor whose expression is strongly induced by abscisic acid. Mediates abscisic acid signaling during drought stress response.,Epidermis,MYB96,Leaf,Lee et al 2025,19
AT1G65840,Gelse_mpi.v2.1_MPIG041540.1,CRO_04G027850.1,polyamine oxidase 4,"encodes a peroxisomal polyamine oxidase, involved in the back-conversion polyamine degradation pathway. Among the five polyamine oxidases in the Arabidopsis genome, PAO4 is the major isoform in root peroxisomes.",Epidermis,PAO4,Leaf,Lee et al 2025,1
AT1G65840,Gelse_mpi.v2.1_MPIG041540.1,CRO_04G027850.1,polyamine oxidase 4,"encodes a peroxisomal polyamine oxidase, involved in the back-conversion polyamine degradation pathway. Among the five polyamine oxidases in the Arabidopsis genome, PAO4 is the major isoform in root peroxisomes.",Epidermis,PAO4,Leaf,Lee et al 2025,7
AT1G65840,Gelse_mpi.v2.1_MPIG041540.1,CRO_04G027850.1,polyamine oxidase 4,"encodes a peroxisomal polyamine oxidase, involved in the back-conversion polyamine degradation pathway. Among the five polyamine oxidases in the Arabidopsis genome, PAO4 is the major isoform in root peroxisomes.",Epidermis,PAO4,Leaf,Lee et al 2025,15
AT2G17705,Gelse_mpi.v2.1_MPIG043290.1,NA,NA,NA,Epidermis,AT2G17705,Leaf,Lee et al 2025,17
AT2G18060,Gelse_mpi.v2.1_MPIG044130.1,CRO_04G030720.1,vascular related NAC-domain protein 1,Encodes a NAC-domain transcription factor. Expressed in the vascular tissue.,Vessel,VND1,Stem,"Li et al 2023; Zhou et al., 2014",9
AT4G36250,Gelse_mpi.v2.1_MPIG044340.1,CRO_04G030940.1,aldehyde dehydrogenase 3F1,Encodes a putative aldehyde dehydrogenase. The gene is not responsive to osmotic stress and is expressed constitutively at a low level in plantlets and root cultures.,Epidermis,ALDH3F1,Leaf,Lee et al 2025,1
AT4G36250,Gelse_mpi.v2.1_MPIG044340.1,CRO_04G030940.1,aldehyde dehydrogenase 3F1,Encodes a putative aldehyde dehydrogenase. The gene is not responsive to osmotic stress and is expressed constitutively at a low level in plantlets and root cultures.,Epidermis,ALDH3F1,Leaf,Lee et al 2025,7
AT4G36250,Gelse_mpi.v2.1_MPIG044340.1,CRO_04G030940.1,aldehyde dehydrogenase 3F1,Encodes a putative aldehyde dehydrogenase. The gene is not responsive to osmotic stress and is expressed constitutively at a low level in plantlets and root cultures.,Epidermis,ALDH3F1,Leaf,Lee et al 2025,15
AT3G50660,Gelse_mpi.v2.1_MPIG045350.1,CRO_04G031750.2,Cytochrome P450 superfamily protein,"Encodes a 22&#945; hydroxylase whose reaction is a rate-limiting step in brassinosteroid biosynthetic pathway. The protein is a member of CYP90B gene family. CLM is an epi-allele  with small, compressed rosette, reduced internode length, and reduced fertility, appears in selfed ddm mutant plants possibly due to loss of cytosine methylation. Transcripts accumulate in actively growing tissues, and GUS expression is negatively  regulated by brassinosteroids. Localized in the endoplasmic reticulum. The in vitro expressed protein can perform the C-22 hydroxylation of a variety of C27-, C28- and C29-sterols. Cholesterol was the best substrate, followed by campesterol. Sitosterol was a poor substrate.",Embryo,AT3G50660,Silique,Lee et al 2025,9
AT5G38690,Gelse_mpi.v2.1_MPIG045870.2,CRO_04G032350.1,Zinc-finger domain of monoamine-oxidase A repressor R1 protein,NA,Mesophyll,AT5G38690,Leaf,Lee et al 2025,11
AT5G38420,Gelse_mpi.v2.1_MPIG046090.1,CRO_04G032580.1,Ribulose bisphosphate carboxylase (small chain) family protein,NA,Mesophyll,RbcS2B,Leaf,Lee et al 2025,0
AT5G38420,Gelse_mpi.v2.1_MPIG046090.1,CRO_04G032580.1,Ribulose bisphosphate carboxylase (small chain) family protein,NA,Mesophyll,RbcS2B,Leaf,Lee et al 2025,6
AT5G38420,Gelse_mpi.v2.1_MPIG046090.1,CRO_04G032580.1,Ribulose bisphosphate carboxylase (small chain) family protein,NA,Mesophyll,RbcS2B,Leaf,Lee et al 2025,8
AT5G38420,Gelse_mpi.v2.1_MPIG046090.1,CRO_04G032580.1,Ribulose bisphosphate carboxylase (small chain) family protein,NA,Mesophyll,RbcS2B,Leaf,Lee et al 2025,13
AT4G37870,Gelse_mpi.v2.1_MPIG047360.4,NA,phosphoenolpyruvate carboxykinase 1,Encodes a putative phosphoenolpyruvate carboxykinase (ATP-dependent).,Trichome,AT4G37870,Leaf,Lee et al 2025,20
AT3G20670,Gelse_mpi.v2.6_MPIG020610.1,CRO_05G001070.1,histone H2A 13,"Encodes HTA13, a histone H2A protein.",Mesophyll,HTA13,Leaf,Lee et al 2025,11
AT4G26790,Gelse_mpi.v2.6_MPIG022020.1,CRO_05G002140.1,GDSL-like Lipase/Acylhydrolase superfamily protein,NA,Epidermis,AT4G26790,Leaf,Lee et al 2025,19
AT3G20150,Gelse_mpi.v2.6_MPIG022500.3,CRO_05G002460.4,Kinesin motor family protein,NA,Embryo,AT3G20150,Silique,Lee et al 2025,10
AT1G55840,Gelse_mpi.v2.6_MPIG023250.3,CRO_05G002680.3,Sec14p-like phosphatidylinositol transfer family protein,NA,Trichome,AT1G55840,Leaf,Lee et al 2025,7
AT1G55840,Gelse_mpi.v2.6_MPIG023250.3,CRO_05G002680.3,Sec14p-like phosphatidylinositol transfer family protein,NA,Trichome,AT1G55840,Leaf,Lee et al 2025,16
AT1G55840,Gelse_mpi.v2.6_MPIG023250.3,CRO_05G002680.3,Sec14p-like phosphatidylinositol transfer family protein,NA,Trichome,AT1G55840,Leaf,Lee et al 2025,18
AT1G79430,Gelse_mpi.v2.6_MPIG024980.3,CRO_05G004470.1,Homeodomain-like superfamily protein,"Encodes gene product that is required for several aspects of phloem development in the root: (1) the specific divisions organizing the phloem pole, (2) sieve element differentiation and (3) the expression of a companion-specific gene.  Mutant has a defect in the organization of phloem poles in the root. apl seedlings have a short, determinate root with only occasional lateral branches.",Sieve element/Companion cell,APL,Stem/Leaf,"Bonke et al., 2003; Li et al 2023; Kim et al., 2021; Lee et al 2025",18
AT4G26070,Gelse_mpi.v2.8_MPIG020290.2,CRO_05G006500.1,MAP kinase/ ERK kinase 1,"Member of MAP Kinase Kinase.  Likely functions in a stress-activated MAPK pathway. Can phosphorylate the MAPK AtMPK4, in response to stress. Gets phosphorylated by MEKK1 in response to wounding.",Mesophyll,MEK1,Leaf,Lee et al 2025,17
AT2G06520,Gelse_mpi.v2.8_MPIG020050.1,NA,photosystem II subunit X,Encodes a protein with sequence similarity to the spinach photosystem II subunit PsbX.,Cortex and pith,PSBX,Stem,Li et al 2023,0
AT2G06520,Gelse_mpi.v2.8_MPIG020050.1,NA,photosystem II subunit X,Encodes a protein with sequence similarity to the spinach photosystem II subunit PsbX.,Cortex and pith,PSBX,Stem,Li et al 2023,2
AT2G06520,Gelse_mpi.v2.8_MPIG020050.1,NA,photosystem II subunit X,Encodes a protein with sequence similarity to the spinach photosystem II subunit PsbX.,Cortex and pith,PSBX,Stem,Li et al 2023,6
AT2G06520,Gelse_mpi.v2.8_MPIG020050.1,NA,photosystem II subunit X,Encodes a protein with sequence similarity to the spinach photosystem II subunit PsbX.,Cortex and pith,PSBX,Stem,Li et al 2023,10
AT2G06520,Gelse_mpi.v2.8_MPIG020050.1,NA,photosystem II subunit X,Encodes a protein with sequence similarity to the spinach photosystem II subunit PsbX.,Cortex and pith,PSBX,Stem,Li et al 2023,13
AT5G20630,Gelse_mpi.v2.8_MPIG019850.1,CRO_05G006910.1,germin 3,"Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening, suggesting some kind of circadian regulation.",Mesophyll2,GER3,Leaf,Lee et al 2025,0
AT5G20630,Gelse_mpi.v2.8_MPIG019850.1,CRO_05G006910.1,germin 3,"Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening, suggesting some kind of circadian regulation.",Mesophyll2,GER3,Leaf,Lee et al 2025,6
AT5G20630,Gelse_mpi.v2.8_MPIG019850.1,CRO_05G006910.1,germin 3,"Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening, suggesting some kind of circadian regulation.",Mesophyll2,GER3,Leaf,Lee et al 2025,8
AT5G20630,Gelse_mpi.v2.8_MPIG019850.1,CRO_05G006910.1,germin 3,"Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening, suggesting some kind of circadian regulation.",Mesophyll2,GER3,Leaf,Lee et al 2025,13
AT1G19210,Gelse_mpi.v2.8_MPIG019380.1,CRO_05G007570.1,Integrase-type DNA-binding superfamily protein,"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10.",Mesophyll,AT1G19210,Leaf,Lee et al 2025,2
AT1G19210,Gelse_mpi.v2.8_MPIG019380.1,CRO_05G007570.1,Integrase-type DNA-binding superfamily protein,"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10.",Mesophyll,AT1G19210,Leaf,Lee et al 2025,10
AT1G51500,Gelse_mpi.v2.3_MPIG011610.8,CRO_05G010480.1,ABC-2 type transporter family protein,"Encodes an ABC transporter involved in cuticular wax biosynthesis. Lines carrying recessive mutations in this locus have weakly glaucous stem surface, and relative elevated secondary alcohols and ketones.",Epidermis,CER5,Leaf,Lee et al 2025,1
AT1G51500,Gelse_mpi.v2.3_MPIG011610.8,CRO_05G010480.1,ABC-2 type transporter family protein,"Encodes an ABC transporter involved in cuticular wax biosynthesis. Lines carrying recessive mutations in this locus have weakly glaucous stem surface, and relative elevated secondary alcohols and ketones.",Epidermis,CER5,Leaf,Lee et al 2025,7
AT1G51500,Gelse_mpi.v2.3_MPIG011610.8,CRO_05G010480.1,ABC-2 type transporter family protein,"Encodes an ABC transporter involved in cuticular wax biosynthesis. Lines carrying recessive mutations in this locus have weakly glaucous stem surface, and relative elevated secondary alcohols and ketones.",Epidermis,CER5,Leaf,Lee et al 2025,15
AT4G34710,Gelse_mpi.v2.4_MPIG030520.1,CRO_05G013660.1,arginine decarboxylase 2,"encodes a arginine decarboxylase (ADC), a rate-limiting enzyme that catalyzes the first step of polyamine (PA) biosynthesis via ADC pathway in Arabidopsis thaliana. Arabidopsis genome has two ADC paralogs, ADC1 and ADC2. ADC2 is stress-inducible (osmotic stress). Double mutant analysis showed that ADC genes are essential for the production of PA, and are required for normal seed development. Overexpression causes phenotypes similar to GA-deficient plants and these plants show reduced levels of GA due to lower expression levels of AtGA20ox1, AtGA3ox3 and AtGA3ox1.",Mesophyll,ADC2,Leaf,Lee et al 2025,1
AT4G34710,Gelse_mpi.v2.4_MPIG030520.1,CRO_05G013660.1,arginine decarboxylase 2,"encodes a arginine decarboxylase (ADC), a rate-limiting enzyme that catalyzes the first step of polyamine (PA) biosynthesis via ADC pathway in Arabidopsis thaliana. Arabidopsis genome has two ADC paralogs, ADC1 and ADC2. ADC2 is stress-inducible (osmotic stress). Double mutant analysis showed that ADC genes are essential for the production of PA, and are required for normal seed development. Overexpression causes phenotypes similar to GA-deficient plants and these plants show reduced levels of GA due to lower expression levels of AtGA20ox1, AtGA3ox3 and AtGA3ox1.",Mesophyll,ADC2,Leaf,Lee et al 2025,2
AT4G34710,Gelse_mpi.v2.4_MPIG030520.1,CRO_05G013660.1,arginine decarboxylase 2,"encodes a arginine decarboxylase (ADC), a rate-limiting enzyme that catalyzes the first step of polyamine (PA) biosynthesis via ADC pathway in Arabidopsis thaliana. Arabidopsis genome has two ADC paralogs, ADC1 and ADC2. ADC2 is stress-inducible (osmotic stress). Double mutant analysis showed that ADC genes are essential for the production of PA, and are required for normal seed development. Overexpression causes phenotypes similar to GA-deficient plants and these plants show reduced levels of GA due to lower expression levels of AtGA20ox1, AtGA3ox3 and AtGA3ox1.",Mesophyll,ADC2,Leaf,Lee et al 2025,10
AT4G39090,Gelse_mpi.v2.4_MPIG030230.2,CRO_05G014020.1,Papain family cysteine protease,"Similar to cysteine proteinases, induced by desiccation but not abscisic acid.  Required for RRS1-R mediated resistance against Ralstonia solanacearum.  Interacts with the R. solanacearum type III effector PopP2.  RD19 associates with PopP2 to form a nuclear complex that is required for activation of the RRS1-Rmediated resistance response.",Trichome,AT4G39090,Leaf,Lee et al 2025,6
AT4G39090,Gelse_mpi.v2.4_MPIG030230.2,CRO_05G014020.1,Papain family cysteine protease,"Similar to cysteine proteinases, induced by desiccation but not abscisic acid.  Required for RRS1-R mediated resistance against Ralstonia solanacearum.  Interacts with the R. solanacearum type III effector PopP2.  RD19 associates with PopP2 to form a nuclear complex that is required for activation of the RRS1-Rmediated resistance response.",Trichome,AT4G39090,Leaf,Lee et al 2025,13
AT4G31840,Gelse_mpi.v2.7_MPIG004050.1,CRO_05G014320.2,early nodulin-like protein 15,NA,Embryo,AT4G31840,Silique,Lee et al 2025,10
AT4G31840,Gelse_mpi.v2.7_MPIG004050.1,CRO_05G014320.2,early nodulin-like protein 15,NA,Embryo,AT4G31840,Silique,Lee et al 2025,14
AT1G12010,Gelse_mpi.v2.1_MPIG029310.2,CRO_05G015470.2,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,Encodes a protein that appears to have 1-amino-cyclopropane-1-carboxylic acid oxidase activity based on mutant analyses.,Bundle Sheath,AT1G12010,NA,Lee et al 2025,4
AT1G12010,Gelse_mpi.v2.1_MPIG029310.2,CRO_05G015470.2,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,Encodes a protein that appears to have 1-amino-cyclopropane-1-carboxylic acid oxidase activity based on mutant analyses.,Bundle Sheath,AT1G12010,NA,Lee et al 2025,9
AT1G12010,Gelse_mpi.v2.1_MPIG029310.2,CRO_05G015470.2,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,Encodes a protein that appears to have 1-amino-cyclopropane-1-carboxylic acid oxidase activity based on mutant analyses.,Bundle Sheath,AT1G12010,NA,Lee et al 2025,12
AT1G12010,Gelse_mpi.v2.1_MPIG029310.2,CRO_05G015470.2,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,Encodes a protein that appears to have 1-amino-cyclopropane-1-carboxylic acid oxidase activity based on mutant analyses.,Bundle Sheath,AT1G12010,NA,Lee et al 2025,18
AT2G21790,Gelse_mpi.v2.1_MPIG036370.2,CRO_05G016550.2,ribonucleotide reductase 1,encodes large subunit of ribonucleotide reductase involved in the production of deoxyribonucleoside triphosphates (dNTPs) for DNA replication and repair,Mesophyll,RNR1,Leaf,Lee et al 2025,11
AT5G09760,Gelse_mpi.v2.1_MPIG033600.2,CRO_05G017440.2,Plant invertase/pectin methylesterase inhibitor superfamily,NA,Procambium_XP,AT5G09760,Leaf,Lee et al 2025,20
AT2G42260,Gelse_mpi.v2.8_MPIG010370.1,CRO_05G022890.1,uv-b-insensitive 4,Encodes a novel plant-specific protein of unknown function. The UVI4 gene is expressed mainly in actively dividing cells. The hypocotyl cells in mutant seedlings undergo one extra round of endoreduplication. The uvi4 mutation also promoted the progression of endo-reduplication during leaf development.,Mesophyll,UVI4,Leaf,Lee et al 2025,11
AT2G34710,Gelse_mpi.v2.1_MPIG025700.1,CRO_05G024580.2,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein,"Dominant PHB mutations cause transformation of abaxial leaf fates into adaxial leaf fates. Encodes a member of HD-Zip family which contains homeodomain-leucine zipper domains and domain similar to a mammalian sterol binding domain. Has overlapping functions with PHAVOLUTA, REVOLUTA and CORONA.",Procambium_XP,ATHB-14,Stem,"Li et al 2023; Prigge et al., 2005",4
AT2G34710,Gelse_mpi.v2.1_MPIG025700.1,CRO_05G024580.2,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein,"Dominant PHB mutations cause transformation of abaxial leaf fates into adaxial leaf fates. Encodes a member of HD-Zip family which contains homeodomain-leucine zipper domains and domain similar to a mammalian sterol binding domain. Has overlapping functions with PHAVOLUTA, REVOLUTA and CORONA.",Procambium_XP,ATHB-14,Stem,"Li et al 2023; Prigge et al., 2005",9
AT2G34710,Gelse_mpi.v2.1_MPIG025700.1,CRO_05G024580.2,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein,"Dominant PHB mutations cause transformation of abaxial leaf fates into adaxial leaf fates. Encodes a member of HD-Zip family which contains homeodomain-leucine zipper domains and domain similar to a mammalian sterol binding domain. Has overlapping functions with PHAVOLUTA, REVOLUTA and CORONA.",Procambium_XP,ATHB-14,Stem,"Li et al 2023; Prigge et al., 2005",11
AT2G34710,Gelse_mpi.v2.1_MPIG025700.1,CRO_05G024580.2,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein,"Dominant PHB mutations cause transformation of abaxial leaf fates into adaxial leaf fates. Encodes a member of HD-Zip family which contains homeodomain-leucine zipper domains and domain similar to a mammalian sterol binding domain. Has overlapping functions with PHAVOLUTA, REVOLUTA and CORONA.",Procambium_XP,ATHB-14,Stem,"Li et al 2023; Prigge et al., 2005",12
AT1G30360,Gelse_mpi.v2.1_MPIG024050.1,CRO_05G025190.1,Early-responsive to dehydration stress protein (ERD4),NA,Procambium_PP,ERD4,Leaf,Lee et al 2025,4
AT1G30360,Gelse_mpi.v2.1_MPIG024050.1,CRO_05G025190.1,Early-responsive to dehydration stress protein (ERD4),NA,Procambium_PP,ERD4,Leaf,Lee et al 2025,9
AT1G30360,Gelse_mpi.v2.1_MPIG024050.1,CRO_05G025190.1,Early-responsive to dehydration stress protein (ERD4),NA,Procambium_PP,ERD4,Leaf,Lee et al 2025,10
AT1G30135,Gelse_mpi.v2.1_MPIG023450.1,CRO_05G025690.1,jasmonate-zim-domain protein 8,NA,Mesophyll,JAZ8,Leaf,Lee et al 2025,20
AT2G34430,Gelse_mpi.v2.1_MPIG022630.1,CRO_05G026760.1,light-harvesting chlorophyll-protein complex II subunit B1,Photosystem II type I chlorophyll            a/b-binding protein,Cortex,LHB1B1,Stem,Lee et al 2025,0
AT2G34430,Gelse_mpi.v2.1_MPIG022630.1,CRO_05G026760.1,light-harvesting chlorophyll-protein complex II subunit B1,Photosystem II type I chlorophyll            a/b-binding protein,Cortex,LHB1B1,Stem,Lee et al 2025,6
AT2G34430,Gelse_mpi.v2.1_MPIG022630.1,CRO_05G026760.1,light-harvesting chlorophyll-protein complex II subunit B1,Photosystem II type I chlorophyll            a/b-binding protein,Cortex,LHB1B1,Stem,Lee et al 2025,8
AT2G34430,Gelse_mpi.v2.1_MPIG022630.1,CRO_05G026760.1,light-harvesting chlorophyll-protein complex II subunit B1,Photosystem II type I chlorophyll            a/b-binding protein,Cortex,LHB1B1,Stem,Lee et al 2025,13
AT3G11210,Gelse_mpi.v2.1_MPIG007760.3,CRO_05G029330.1,SGNH hydrolase-type esterase superfamily protein,NA,Epidermis,AT3G11210,Leaf,Lee et al 2025,1
AT3G11210,Gelse_mpi.v2.1_MPIG007760.3,CRO_05G029330.1,SGNH hydrolase-type esterase superfamily protein,NA,Epidermis,AT3G11210,Leaf,Lee et al 2025,7
AT3G11210,Gelse_mpi.v2.1_MPIG007760.3,CRO_05G029330.1,SGNH hydrolase-type esterase superfamily protein,NA,Epidermis,AT3G11210,Leaf,Lee et al 2025,15
AT2G40140,Gelse_mpi.v2.1_MPIG007610.1,CRO_05G029470.1,zinc finger (CCCH-type) family protein,NA,Mesophyll,CZF1,Leaf,Lee et al 2025,1
AT2G40140,Gelse_mpi.v2.1_MPIG007610.1,CRO_05G029470.1,zinc finger (CCCH-type) family protein,NA,Mesophyll,CZF1,Leaf,Lee et al 2025,2
AT5G05270,Gelse_mpi.v2.1_MPIG006560.5,CRO_05G030570.1,Chalcone-flavanone isomerase family protein,NA,Epidermis,CHIL,Leaf,Lee et al 2025,1
AT5G05270,Gelse_mpi.v2.1_MPIG006560.5,CRO_05G030570.1,Chalcone-flavanone isomerase family protein,NA,Epidermis,CHIL,Leaf,Lee et al 2025,7
AT5G05270,Gelse_mpi.v2.1_MPIG006560.5,CRO_05G030570.1,Chalcone-flavanone isomerase family protein,NA,Epidermis,CHIL,Leaf,Lee et al 2025,13
AT2G40610,Gelse_mpi.v2.1_MPIG006600.1,CRO_05G030540.2,expansin A8,"member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.",Epidermis,EXPA8,Leaf,Lee et al 2025,1
AT2G40610,Gelse_mpi.v2.1_MPIG006600.1,CRO_05G030540.2,expansin A8,"member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.",Epidermis,EXPA8,Leaf,Lee et al 2025,6
AT2G40610,Gelse_mpi.v2.1_MPIG006600.1,CRO_05G030540.2,expansin A8,"member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.",Epidermis,EXPA8,Leaf,Lee et al 2025,7
AT2G40610,Gelse_mpi.v2.1_MPIG006600.1,CRO_05G030540.2,expansin A8,"member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.",Epidermis,EXPA8,Leaf,Lee et al 2025,9
AT2G40750,Gelse_mpi.v2.1_MPIG006410.18,CRO_05G030730.4,WRKY DNA-binding protein 54,member of WRKY Transcription Factor; Group III,Mesophyll,WRKY54,Leaf,Lee et al 2025,7
AT2G40750,Gelse_mpi.v2.1_MPIG006410.18,CRO_05G030730.4,WRKY DNA-binding protein 54,member of WRKY Transcription Factor; Group III,Mesophyll,WRKY54,Leaf,Lee et al 2025,15
AT2G40750,Gelse_mpi.v2.1_MPIG006410.18,CRO_05G030730.4,WRKY DNA-binding protein 54,member of WRKY Transcription Factor; Group III,Mesophyll,WRKY54,Leaf,Lee et al 2025,19
AT5G61480,Gelse_mpi.v2.1_MPIG005360.2,CRO_05G032300.1,Leucine-rich repeat protein kinase family protein,NA,Cambium,PXY,Stem,Li et al 2023; Lee et al 2025,9
AT5G61480,Gelse_mpi.v2.1_MPIG005360.2,CRO_05G032300.1,Leucine-rich repeat protein kinase family protein,NA,Cambium,PXY,Stem,Li et al 2023; Lee et al 2025,12
AT5G62100,Gelse_mpi.v2.1_MPIG004200.2,CRO_05G033260.1,BCL-2-associated athanogene 2,"A member of Arabidopsis BAG (Bcl-2-associated athanogene) proteins, plant homologs of mammalian regulators of apoptosis. Plant BAG proteins are multi-functional and remarkably similar to their animal counterparts, as they regulate apoptotic-like processes ranging from pathogen attack, to abiotic stress, to plant development.",Epidermis,BAG2,Leaf,Lee et al 2025,6
AT3G16170,Gelse_mpi.v2.2_MPIG040870.1,CRO_06G000250.2,AMP-dependent synthetase and ligase family protein,NA,Epidermis,AAE13,Leaf,Lee et al 2025,1
AT3G16170,Gelse_mpi.v2.2_MPIG040870.1,CRO_06G000250.2,AMP-dependent synthetase and ligase family protein,NA,Epidermis,AAE13,Leaf,Lee et al 2025,7
